Source,Target,Strength
Healthcare,Manufacturing,0
Healthcare,Marketing,0
Healthcare,Media,0
Healthcare,Other,0
Healthcare,Product,0
Healthcare,Real Estate,0
Healthcare,Recruiting,0
Healthcare,Retail,0
Healthcare,Sales,0
Healthcare,Security,1
Healthcare,Support,1
Healthcare,Transportation,0
Healthcare,Travel,1
Infrastructure,Legal,0
Infrastructure,Logistics,0
Infrastructure,Manufacturing,0
Infrastructure,Marketing,0
Infrastructure,Media,0
Infrastructure,Other,0
Infrastructure,Product,0
Infrastructure,Real Estate,0
Infrastructure,Recruiting,0
Infrastructure,Retail,0
Infrastructure,Sales,0
Infrastructure,Security,2
Infrastructure,Support,0
Infrastructure,Transportation,0
Infrastructure,Travel,0
Legal,Logistics,0
Legal,Manufacturing,0
Legal,Marketing,0
Legal,Media,0
Legal,Other,0
Legal,Product,0
Legal,Real Estate,0
Legal,Recruiting,1
Legal,Retail,0
Legal,Sales,0
Legal,Security,0
Legal,Support,0
Legal,Transportation,0
Legal,Travel,0
Logistics,Manufacturing,2
Logistics,Marketing,0
Logistics,Media,0
Logistics,Other,0
Logistics,Product,0
Logistics,Real Estate,0
Logistics,Recruiting,0
Logistics,Retail,2
Logistics,Sales,0
Logistics,Security,0
Logistics,Support,0
Logistics,Transportation,2
Logistics,Travel,0
Manufacturing,Marketing,0
Manufacturing,Media,0
Manufacturing,Other,0
Manufacturing,Product,0
Manufacturing,Real Estate,1
Manufacturing,Recruiting,0
Manufacturing,Retail,0
Manufacturing,Sales,0
Manufacturing,Security,0
Manufacturing,Support,0
Manufacturing,Transportation,1
Manufacturing,Travel,0
Marketing,Media,2
Marketing,Other,0
Marketing,Product,2
Marketing,Real Estate,0
Marketing,Recruiting,0
Marketing,Retail,1
Marketing,Sales,2
Marketing,Security,0
Marketing,Support,1
Marketing,Transportation,0
Marketing,Travel,1
Media,Other,0
Media,Product,0
Media,Real Estate,0
Media,Recruiting,0
Media,Retail,0
Media,Sales,2
Media,Security,0
Media,Support,0
Media,Transportation,0
Media,Travel,1
Other,Product,0
Other,Real Estate,0
Other,Recruiting,0
Other,Retail,0
Other,Sales,0
Other,Security,0
Other,Support,0
Other,Transportation,0
Other,Travel,0
Product,Real Estate,0
Product,Recruiting,0
Product,Retail,0
Product,Sales,2
Product,Security,0
Product,Support,2
Product,Transportation,0
Product,Travel,0
Real Estate,Recruiting,0
Real Estate,Retail,0
Real Estate,Sales,0
Real Estate,Security,0
Real Estate,Support,0
Real Estate,Transportation,1
Real Estate,Travel,0
Recruiting,Retail,0
Recruiting,Sales,0
Recruiting,Security,0
Recruiting,Support,0
Recruiting,Transportation,0
Recruiting,Travel,0
Retail,Sales,2
Retail,Security,0
Retail,Support,1
Retail,Transportation,0
Retail,Travel,1
Sales,Security,0
Sales,Support,2
Sales,Transportation,0
Sales,Travel,0
Security,Support,0
Security,Transportation,0
Security,Travel,1
Support,Transportation,0
Support,Travel,0
Transportation,Travel,2
